ID	log2Exp	log2FC
ASHGA5P005163	3.923	-0.922
ASHGA5P005164	7.997	2.232
ASHGA5P005165	8.992	-4.093
ASHGA5P005166	10.748	0.851
ASHGA5P005167	7.459	0.645
ASHGA5P005169	9.902	-0.467
ASHGA5P005170	9.664	-0.761
ASHGA5P005171	5.254	-5.402
ASHGA5P005172	4.699	1.026
ASHGA5P005175	7.019	-0.976
ASHGA5P005176	7.238	1.057
ASHGA5P005179	9.708	1.637
ASHGA5P005180	4.594	1.52
ASHGA5P005182	6.599	-0.708
ASHGA5P005183	7.609	-0.595
ASHGA5P005186	6.046	0.868
ASHGA5P005187	10.766	1.932
ASHGA5P005188	9.034	0.804
ASHGA5P005189	4.025	-1.893
ASHGA5P005190	9.909	-1.063
ASHGA5P005191	4.428	2.163
ASHGA5P005192	9.236	0.912
ASHGA5P005193	8.293	-0.717
ASHGA5P005194	12.043	-4.069
ASHGA5P005195	3.882	1.516
ASHGA5P005196	11.029	-1.246
ASHGA5P005197	3.559	-1.53
ASHGA5P005199	7.832	-2.079
ASHGA5P005201	8.998	-1.657
ASHGA5P005203	5.239	-1.025
ASHGA5P005204	5.787	-1.774
ASHGA5P005206	4.789	-1.24
ASHGA5P005207	9.039	-1.017
ASHGA5P005208	6.179	-2.291
ASHGA5P005209	14.205	1.337
ASHGA5P005210	7.124	1.593
ASHGA5P005212	3.223	-1.269
ASHGA5P005213	4.965	-1.872
ASHGA5P005214	12.78	-1.302
ASHGA5P005215	4.365	-3.614
ASHGA5P005217	5.797	0.773
ASHGA5P005218	5.564	-1.657
ASHGA5P005221	8.349	-1.282
ASHGA5P005223	10.229	-0.525
ASHGA5P005224	5.73	0.742
ASHGA5P005225	9.837	0.93
ASHGA5P005227	6.779	-0.496
ASHGA5P005229	11.121	-0.513
ASHGA5P005230	8.855	0.685
ASHGA5P005231	7.404	-0.738
ASHGA5P005232	5.07	0.725
ASHGA5P005233	6.36	-0.592
ASHGA5P005234	6.798	-0.441
ASHGA5P005235	11.42	-1.369
ASHGA5P005236	7.916	-1.19
ASHGA5P005237	9.058	-1.253
ASHGA5P005240	4.479	-1.484
ASHGA5P005241	4.24	1.975
ASHGA5P005242	9.326	-0.508
ASHGA5P005243	7.186	-0.813
ASHGA5P005244	5.52	1.002
ASHGA5P005246	13.789	1.306
ASHGA5P005248	9.411	1.6
ASHGA5P005249	4.708	1.913
ASHGA5P005252	11.993	0.406
ASHGA5P005254	7.402	0.732
ASHGA5P005255	10.017	0.794
ASHGA5P005256	3.024	1.19
ASHGA5P005258	5.706	-1.156
ASHGA5P005260	9.034	-1.637
ASHGA5P005261	3.17	-0.805
ASHGA5P005262	4.136	-2.085
ASHGA5P005263	5.622	-3.471
ASHGA5P005264	11.131	-1.655
ASHGA5P005271	13.129	4.019
ASHGA5P005272	8.875	1.982
ASHGA5P005273	6.422	-2.571
ASHGA5P005274	4.258	0.686
ASHGA5P005275	7.837	2.179
ASHGA5P005276	2.703	0.444
ASHGA5P005277	5.395	-3.77
ASHGA5P005278	3.285	-1.13
ASHGA5P005279	8.828	0.99
ASHGA5P005280	7.819	1.834
ASHGA5P005281	12.775	-1.218
ASHGA5P005284	3.614	-2.124
ASHGA5P005285	9.274	-2.472
ASHGA5P005286	6.248	-2.136
ASHGA5P005287	14.536	1.366
ASHGA5P005288	5.358	-5.594
ASHGA5P005289	4.926	-2.129
ASHGA5P005290	7.512	0.842
ASHGA5P005291	9.079	-0.759
ASHGA5P005294	6.677	-0.445
ASHGA5P005295	7.239	-1.306
ASHGA5P005296	10.772	1.023
ASHGA5P005297	12.255	1.101
ASHGA5P005298	13.842	1.248
ASHGA5P005300	5.598	0.905
ASHGA5P005302	8.698	-4.874
ASHGA5P005303	9.61	1.67
ASHGA5P005308	4.41	1.435
ASHGA5P005309	4.78	1.506
ASHGA5P005311	4.947	1.275
ASHGA5P005312	7.816	1.869
ASHGA5P005313	3.644	1.669
ASHGA5P005314	8.372	-1.215
ASHGA5P005315	9.471	-0.426
ASHGA5P005317	11.438	-0.533
ASHGA5P005318	8.274	-0.97
ASHGA5P005319	8.23	1.717
ASHGA5P005322	9.52	-1.787
ASHGA5P005323	4.235	1.728
ASHGA5P005324	7.633	1.206
ASHGA5P005325	4.571	-2.986
ASHGA5P005326	6.096	-2.995
ASHGA5P005328	8.026	0.506
ASHGA5P005329	7.205	-1.191
ASHGA5P005330	2.685	0.386
ASHGA5P005331	4.252	-1.185
ASHGA5P005332	6.018	-1.999
ASHGA5P005333	4.766	-1.44
ASHGA5P005335	5.82	-1.973
ASHGA5P005336	4.315	0.648
ASHGA5P005338	10.168	0.9
ASHGA5P005339	11.443	-1.4
ASHGA5P005340	4.982	-1.804
ASHGA5P005341	7.186	-0.499
ASHGA5P005343	3.297	-0.75
ASHGA5P005345	15.077	1.443
ASHGA5P005346	7.507	1.083
ASHGA5P005347	11.028	-3.075
ASHGA5P005348	11.333	-3.148
ASHGA5P005349	6.088	-0.792
ASHGA5P005352	9.564	0.598
ASHGA5P005353	6.433	-2.377
ASHGA5P005354	5.136	-4.84
ASHGA5P005357	8.321	1.272
ASHGA5P005358	8.343	0.64
ASHGA5P005359	10.473	-0.713
ASHGA5P005361	4.137	1.303
ASHGA5P005363	6.076	1.339
ASHGA5P005364	6.699	2.329
ASHGA5P005365	5.958	-0.341
ASHGA5P005369	5.49	-2.216
ASHGA5P005371	3.036	-0.967
ASHGA5P005372	10.894	-5.787
ASHGA5P005373	6.929	-1.144
ASHGA5P005374	6.35	-0.918
ASHGA5P005378	11.133	0.542
ASHGA5P005379	4.549	0.893
ASHGA5P005381	11.817	-1.113
ASHGA5P005382	3.222	-1.33
ASHGA5P005383	5.659	2.778
ASHGA5P005384	5.589	-1.313
ASHGA5P005386	4.406	-1.977
ASHGA5P005387	12.781	-3.108
ASHGA5P005388	4.193	-1.869
ASHGA5P005389	7.824	-1.855
ASHGA5P005391	4.909	-0.473
ASHGA5P005392	5.763	-2.03
ASHGA5P005393	10.995	1.26
ASHGA5P005395	7.233	-3.268
ASHGA5P005397	8.786	-0.934
ASHGA5P005398	6.635	0.646
ASHGA5P005399	2.914	0.936
ASHGA5P005400	6.348	-1.738
ASHGA5P005401	3.799	-2.114
ASHGA5P005402	6.204	-1.304
ASHGA5P005405	8.686	1.89
ASHGA5P005407	7.738	0.655
ASHGA5P005409	8.655	-2.174
ASHGA5P005410	7.324	-0.568
ASHGA5P005411	13.043	-5.142
ASHGA5P005412	7.01	0.487
ASHGA5P005413	10.779	1.034
ASHGA5P005414	3.476	-0.931
ASHGA5P005415	4.022	1.124
ASHGA5P005418	4.717	-1.982
ASHGA5P005420	8.629	-0.82
ASHGA5P005422	10.562	-2.411
ASHGA5P005423	11.201	-0.55
ASHGA5P005424	4.17	-3.088
ASHGA5P005426	11.922	-1.093
ASHGA5P005427	5.327	0.357
ASHGA5P005428	8.127	0.535
ASHGA5P005431	8.259	-2.652
ASHGA5P005432	6.073	-0.668
ASHGA5P005433	7.945	-0.52
ASHGA5P005434	4.711	-3.311
ASHGA5P005435	8.882	-2.224
ASHGA5P005436	9.601	-1.236
ASHGA5P005437	10.456	-0.667
ASHGA5P005439	6.573	-0.986
ASHGA5P005440	10.759	-1.051
ASHGA5P005441	8.993	-2.952
ASHGA5P005442	8.866	0.784
ASHGA5P005443	5.077	-3.741
ASHGA5P005445	10.266	7.336
ASHGA5P005446	7.217	-1.889
ASHGA5P005447	4.028	-2.829
ASHGA5P005449	4.08	-1.185
ASHGA5P005450	10.022	-4.498
ASHGA5P005453	9.619	-2.574
ASHGA5P005454	14.44	0.714
ASHGA5P005455	8.148	0.731
ASHGA5P005456	7.782	-1.021
ASHGA5P005458	5.055	0.787
ASHGA5P005459	13.422	1.145
ASHGA5P005460	6.561	-3.709
ASHGA5P005462	10.786	-1.634
ASHGA5P005464	10.235	-2.068
ASHGA5P005465	3.301	1.098
ASHGA5P005467	7.761	-2.221
ASHGA5P005468	7.704	-3.341
ASHGA5P005469	10.101	-0.493
ASHGA5P005473	7.899	3.548
ASHGA5P005474	8.856	-2.665
ASHGA5P005475	13.683	-0.481
ASHGA5P005476	9.095	-1.228
ASHGA5P005477	6.479	-1.171
ASHGA5P005478	12.858	-0.856
ASHGA5P005480	6.154	-4.778
ASHGA5P005481	5.198	1.376
ASHGA5P005482	10.918	-0.416
ASHGA5P005483	2.72	0.373
ASHGA5P005487	4.251	-1.798
ASHGA5P005488	8.109	0.622
ASHGA5P005490	11.091	0.92
ASHGA5P005491	6.113	-3.223
ASHGA5P005492	10.207	-0.817
ASHGA5P005494	6.565	0.869
ASHGA5P005495	4.674	1.16
ASHGA5P005496	4.813	-3.737
ASHGA5P005497	7.916	-0.818
ASHGA5P005499	5.64	0.915
ASHGA5P005500	4.249	1.17
ASHGA5P005501	9.296	-1.45
ASHGA5P005502	13.128	-1.099
ASHGA5P005503	12.815	0.326
ASHGA5P005504	13.702	0.776
ASHGA5P005505	10.027	0.691
ASHGA5P005506	7.926	2.035
ASHGA5P005510	7.713	-0.604
ASHGA5P005514	12.382	-4.961
ASHGA5P005515	10.559	-4.547
ASHGA5P005517	7.188	1.411
ASHGA5P005518	7.307	2.215
ASHGA5P005519	8.953	-1.754
ASHGA5P005520	8.327	-0.924
ASHGA5P005523	6.004	0.879
ASHGA5P005524	9.415	-1.346
ASHGA5P005525	6.713	0.84
ASHGA5P005526	6.43	1.207
ASHGA5P005528	4.127	-2.345
ASHGA5P005529	6.562	0.556
ASHGA5P005530	9.134	-4.752
ASHGA5P005531	4.741	-3.062
ASHGA5P005533	6.673	-2.139
ASHGA5P005537	5.158	-1.116
ASHGA5P005538	8.423	-1.321
ASHGA5P005539	7.488	-2.753
ASHGA5P005540	9.484	-0.455
ASHGA5P005541	7.055	1.177
ASHGA5P005543	9.027	-2.083
ASHGA5P005544	5.578	0.725
ASHGA5P005546	10.473	1.706
ASHGA5P005547	5.708	1.048
ASHGA5P005548	8.66	1.384
ASHGA5P005550	9.72	-5.299
ASHGA5P005551	9.087	-1.828
ASHGA5P005552	7.054	-8.705
ASHGA5P005556	4.025	-2.945
ASHGA5P005557	8.546	1.468
ASHGA5P005559	6.043	-4.987
ASHGA5P005561	7.189	-2.758
ASHGA5P005562	7.912	-0.808
ASHGA5P005563	11.89	2.841
ASHGA5P005564	7.722	0.599
ASHGA5P005565	10.367	-1.342
ASHGA5P005566	9.783	0.81
ASHGA5P005567	5.735	0.822
ASHGA5P005568	3.035	1.172
ASHGA5P005571	4.18	-2.322
ASHGA5P005572	6.743	-1.038
ASHGA5P005573	5.369	-2.296
ASHGA5P005574	5.643	0.562
ASHGA5P005575	9.83	-6.706
ASHGA5P005576	4.559	0.961
ASHGA5P005577	4.692	-1.796
ASHGA5P005578	10.789	3.933
ASHGA5P005580	5.834	1.339
ASHGA5P005582	8.323	1.203
ASHGA5P005583	7.057	-0.51
ASHGA5P005584	5.02	0.628
ASHGA5P005585	4.757	-4.394
ASHGA5P005588	9.41	1.063
ASHGA5P005589	4.387	-1.316
ASHGA5P005590	2.668	0.543
ASHGA5P005591	2.842	0.888
ASHGA5P005592	4.807	1.116
ASHGA5P005594	4.011	-2.679
ASHGA5P005596	7.471	-0.689
ASHGA5P005597	4.235	-2.531
ASHGA5P005598	10.335	-2.033
ASHGA5P005599	8.546	-1.304
ASHGA5P005600	8.263	-2.663
ASHGA5P005602	8.801	3.918
ASHGA5P005603	3.286	-0.866
ASHGA5P005604	2.704	0.615
ASHGA5P005605	5.511	-0.305
ASHGA5P005607	6.557	0.698
ASHGA5P005609	4.93	-0.784
ASHGA5P005610	7.789	-1.438
ASHGA5P005611	8.373	-2.375
ASHGA5P005612	15.772	0.914
ASHGA5P005613	11.887	-0.36
ASHGA5P005615	14.449	-0.487
ASHGA5P005617	6.229	-4.263
ASHGA5P005618	9.143	-2.56
ASHGA5P005619	5.61	-2.896
ASHGA5P005620	3.965	-2.659
ASHGA5P005621	8.977	-3.683
ASHGA5P005622	6.172	0.85
ASHGA5P005623	3.889	2.86
ASHGA5P005626	6.702	0.573
ASHGA5P005627	5.956	-2.849
ASHGA5P005628	7.392	2.372
ASHGA5P005629	11.23	0.467
ASHGA5P005631	9.766	-1.641
ASHGA5P005633	10.899	-3.674
ASHGA5P005634	7.297	-3.061
ASHGA5P005635	4.736	-3.209
ASHGA5P005637	6.378	1.025
ASHGA5P005638	7.144	-7.314
ASHGA5P005640	14.405	-0.924
ASHGA5P005642	6.098	-1.282
ASHGA5P005647	4.575	0.896
ASHGA5P005648	6.324	-0.824
ASHGA5P005649	6.532	0.828
ASHGA5P005650	8.358	-3.596
ASHGA5P005651	8.077	-2.297
ASHGA5P005652	2.861	0.92
ASHGA5P005653	6.905	1.542
ASHGA5P005655	5.378	-3.297
ASHGA5P005658	7.555	-1.844
ASHGA5P005659	7.089	0.484
ASHGA5P005660	8.16	-1.806
ASHGA5P005661	10.186	-1.507
ASHGA5P005662	4.98	-3.186
ASHGA5P005663	4.952	0.853
ASHGA5P005664	8.547	-0.824
ASHGA5P005665	8.852	-1.119
ASHGA5P005666	9.233	0.816
ASHGA5P005667	8.197	1.854
ASHGA5P005669	9.144	-2.854
ASHGA5P005670	7.901	-1.409
ASHGA5P005671	8.514	3.625
ASHGA5P005674	7.447	-1.405
ASHGA5P005677	5.613	5.849
ASHGA5P005679	7.364	-1.738
ASHGA5P005680	6.498	-2.832
ASHGA5P005681	7.596	-1.244
ASHGA5P005682	8.916	0.459
ASHGA5P005683	12.704	-1.933
ASHGA5P005684	3.09	-1.041
ASHGA5P005686	5.903	-3.419
ASHGA5P005687	6.069	-1.016
ASHGA5P005688	7.994	-0.816
ASHGA5P005689	5.747	0.697
ASHGA5P005690	7.407	-1.719
ASHGA5P005692	10.123	-0.543
ASHGA5P005693	8.025	-0.899
ASHGA5P005694	2.62	0.423
ASHGA5P005695	7.115	-3.485
ASHGA5P005696	3.307	-1.515
ASHGA5P005697	8.618	-2.582
ASHGA5P005698	7.518	-3.553
ASHGA5P005699	6.46	-2.523
ASHGA5P005703	7.344	1.06
ASHGA5P005706	14.601	0.508
ASHGA5P005707	8.276	-0.772
ASHGA5P005709	6.445	-2.049
ASHGA5P005711	5.884	-3.304
ASHGA5P005713	4.958	1.275
ASHGA5P005716	3.687	-2.265
ASHGA5P005717	7.771	-2.164
ASHGA5P005718	7.212	1.067
ASHGA5P005722	8.199	-2.679
ASHGA5P005723	7.265	-2.408
ASHGA5P005724	7.218	0.628
ASHGA5P005725	10.077	-1.308
ASHGA5P005726	8.952	1.085
ASHGA5P005728	5.449	0.63
ASHGA5P005729	3.399	-0.679
ASHGA5P005730	11.522	-1.598
ASHGA5P005731	16.9	0.933
ASHGA5P005733	9.427	0.442
ASHGA5P005734	4.236	0.7
ASHGA5P005736	12.265	0.844
ASHGA5P005737	7.804	-0.646
ASHGA5P005738	3.7	-0.78
ASHGA5P005739	15.534	-0.877
ASHGA5P005740	9.161	-1.856
ASHGA5P005741	7.162	-0.792
ASHGA5P005742	12.007	0.51
ASHGA5P005743	3.947	0.871
ASHGA5P005744	10.297	0.903
ASHGA5P005745	6.978	-2.4
ASHGA5P005746	4.409	-3.246
ASHGA5P005747	8.169	-2.656
ASHGA5P005748	4.417	-1.827
ASHGA5P005750	6.899	-2.215
ASHGA5P005751	12.124	-0.355
ASHGA5P005754	11.325	1.871
ASHGA5P005755	7.534	1.899
ASHGA5P005756	7.02	0.506
ASHGA5P005757	7.217	-2.054
ASHGA5P005759	9.732	-1.725
ASHGA5P005760	12.15	-0.701
ASHGA5P005761	8.301	-0.692
ASHGA5P005762	8.37	1.233
ASHGA5P005763	7.163	0.94
ASHGA5P005764	7.274	-0.563
ASHGA5P005765	7.644	-2.452
ASHGA5P005766	7.986	-1.778
ASHGA5P005767	6.796	4.455
ASHGA5P005770	8.634	-2.042
ASHGA5P005771	8.908	-1.746
ASHGA5P005773	7.917	0.587
ASHGA5P005774	8.552	-1.588
ASHGA5P005783	5.629	6.228
ASHGA5P005784	11.13	-1.605
ASHGA5P005786	4.389	-1.246
ASHGA5P005787	9.398	-1.936
ASHGA5P005789	9.972	2.135
ASHGA5P005790	10.174	-2.342
ASHGA5P005793	8.782	1.893
ASHGA5P005794	7.625	2.015
ASHGA5P005795	10.502	-1.87
ASHGA5P005796	7.591	0.932
ASHGA5P005798	5.959	1.833
ASHGA5P005801	5.497	-1.286
ASHGA5P005803	10.987	-1.978
ASHGA5P005804	7.707	-2.231
ASHGA5P005805	6.026	1.034
ASHGA5P005806	6.928	0.69
ASHGA5P005808	5.281	-2.121
ASHGA5P005809	8.489	-3.182
ASHGA5P005811	8.423	-0.556
ASHGA5P005814	2.832	0.871
ASHGA5P005815	12.43	0.489
ASHGA5P005816	3.916	-2.729
ASHGA5P005817	8.956	-1.128
ASHGA5P005818	11.408	0.395
ASHGA5P005819	4.557	-3.71
ASHGA5P005820	5.154	0.681
ASHGA5P005821	9.572	2.106
ASHGA5P005822	11.632	-0.536
ASHGA5P005826	5.054	0.965
ASHGA5P005829	7.092	1.019
ASHGA5P005830	6.995	0.873
ASHGA5P005831	8.726	10.904
ASHGA5P005832	4.686	-2.265
ASHGA5P005833	7.606	-1.682
ASHGA5P005834	6.416	-1.293
ASHGA5P005835	6.622	-1.183
ASHGA5P005836	12.998	-1.862
ASHGA5P005837	14.022	-1.407
ASHGA5P005838	7.186	-3.919
ASHGA5P005839	3.909	-0.99
ASHGA5P005841	10.794	2.811
ASHGA5P005842	7.531	-0.915
ASHGA5P005844	9.679	-1.553
ASHGA5P005845	7.921	1.125
ASHGA5P005846	3.683	1.374
ASHGA5P005848	12.932	0.384
ASHGA5P005849	6.626	1.103
ASHGA5P005850	11.477	3.827
ASHGA5P005851	7.735	-0.775
ASHGA5P005852	7.009	-1.608
ASHGA5P005854	8.418	1.168
ASHGA5P005858	6.678	0.995
ASHGA5P005860	6.504	0.474
ASHGA5P005861	5.822	-0.492
ASHGA5P005863	8.394	-2.856
ASHGA5P005864	3.111	-1.117
ASHGA5P005865	4.912	-3.087
ASHGA5P005866	9.014	1.743
ASHGA5P005867	6.452	1.399
ASHGA5P005868	8.171	-0.735
ASHGA5P005869	8.158	-1.727
ASHGA5P005871	7.159	-3.271
ASHGA5P005874	4.116	0.548
ASHGA5P005875	12.433	-0.849
ASHGA5P005876	8.507	0.561
ASHGA5P005877	4.182	0.879
ASHGA5P005878	11.994	0.573
ASHGA5P005879	13.248	0.811
ASHGA5P005881	8.866	0.597
ASHGA5P005886	13.39	0.991
ASHGA5P005887	8.894	-3.452
ASHGA5P005889	10.998	1.654
ASHGA5P005891	12.443	-0.707
ASHGA5P005892	17.308	0.349
ASHGA5P005893	7.159	-2.558
ASHGA5P005898	3.308	-0.643
ASHGA5P005899	8.145	0.676
ASHGA5P005900	5.935	-1.273
ASHGA5P005902	9.181	-0.934
ASHGA5P005903	12.672	-0.842
ASHGA5P005904	8.178	0.452
ASHGA5P005905	13.314	-0.646
ASHGA5P005906	6.233	1.064
ASHGA5P005907	3.323	-1.525
ASHGA5P005908	6.973	-0.585
ASHGA5P005909	10.741	0.396
ASHGA5P005910	9.355	-0.439
ASHGA5P005911	9.854	-1.308
ASHGA5P005912	5.745	0.47
ASHGA5P005913	10.117	1.301
ASHGA5P005914	3.901	-2.411
ASHGA5P005915	7.092	-1.931
ASHGA5P005919	7.695	0.892
ASHGA5P005920	10.057	0.401
ASHGA5P005921	6.988	1.625
ASHGA5P005922	4.947	-0.93
ASHGA5P005923	6.238	-1.121
ASHGA5P005925	5.5	0.833
ASHGA5P005926	14.026	0.927
ASHGA5P005928	11.758	0.321
ASHGA5P005930	8.979	0.899
ASHGA5P005931	5.534	-4.04
ASHGA5P005932	6.863	2.056
ASHGA5P005933	15.555	2.279
ASHGA5P005934	11.599	-1.771
ASHGA5P005936	8.012	0.763
ASHGA5P005937	8.717	0.608
ASHGA5P005938	5.573	1.049
ASHGA5P005944	16.061	0.489
ASHGA5P005946	7.295	0.528
ASHGA5P005948	11.11	0.364
ASHGA5P005950	4.349	-1.546
ASHGA5P005951	4.653	-2.133
ASHGA5P005954	5.64	-0.727
ASHGA5P005955	9.536	0.543
ASHGA5P005957	7.134	1.033
ASHGA5P005958	12.561	1.477
ASHGA5P005960	6.383	0.384
ASHGA5P005961	3.841	-2.021
ASHGA5P005962	8.509	3.765
ASHGA5P005963	10.278	-3.568
ASHGA5P005964	10.042	-1.723
ASHGA5P005965	9.91	-1.738
ASHGA5P005966	9.724	-1.302
ASHGA5P005967	7.005	0.894
ASHGA5P005969	6.324	1.803
ASHGA5P005970	9.493	2.098
ASHGA5P005972	7.269	0.75
ASHGA5P005975	10.939	2.44
ASHGA5P005976	5.622	-1.711
ASHGA5P005977	7.12	-3.428
ASHGA5P005979	9.088	-1.294
ASHGA5P005980	6.924	-4.232
ASHGA5P005981	8.824	0.312
ASHGA5P005982	7.041	-1.995
ASHGA5P005984	10.11	-5.494
ASHGA5P005985	2.83	0.855
ASHGA5P005986	7.836	0.943
ASHGA5P005987	13.286	-0.686
ASHGA5P005989	5.893	-0.536
ASHGA5P005990	10.164	0.859
ASHGA5P005991	7.469	-2.092
ASHGA5P005992	8.252	-0.496
ASHGA5P005993	8.144	-2.062
ASHGA5P005994	11.711	-1.246
ASHGA5P005995	5.892	0.93
ASHGA5P005996	4.203	-1.691
ASHGA5P005998	5.542	1.261
ASHGA5P005999	4.965	1.935
ASHGA5P006001	5.43	-4.573
ASHGA5P006002	7.128	-0.449
ASHGA5P006005	10.024	-1.936
ASHGA5P006007	7.441	0.944
ASHGA5P006009	6.688	0.426
ASHGA5P006010	8.069	1.891
ASHGA5P006011	6.113	1.559
ASHGA5P006014	4.944	-1.931
ASHGA5P006015	4.134	-2.101
ASHGA5P006018	8.662	0.424
ASHGA5P006019	7.634	0.452
ASHGA5P006021	6.692	1.279
ASHGA5P006026	8.759	-2.35
ASHGA5P006027	9.957	-1.322
ASHGA5P006028	7.724	2.035
ASHGA5P006029	7.777	0.875
ASHGA5P006030	8.388	3.078
ASHGA5P006032	7.564	0.8
ASHGA5P006033	9.143	-1.928
ASHGA5P006034	7.044	2.499
ASHGA5P006036	8.756	0.858
ASHGA5P006037	8.962	0.811
ASHGA5P006038	9.808	1.48
ASHGA5P006039	4.969	1.839
ASHGA5P006040	5.941	0.686
ASHGA5P006041	12.68	0.746
ASHGA5P006042	5.77	-0.812
ASHGA5P006043	15.022	-0.423
ASHGA5P006044	12.919	-0.737
ASHGA5P006046	7.792	-0.745
ASHGA5P006048	7.269	1.376
ASHGA5P006049	6.429	-3.249
ASHGA5P006051	5.531	1.395
ASHGA5P006055	6.762	-0.891
ASHGA5P006057	9.147	-0.869
ASHGA5P006058	9.028	-3.314
ASHGA5P006059	7.146	3.37
ASHGA5P006060	11.32	-0.912
ASHGA5P006062	3.972	-1.296
ASHGA5P006063	8.532	0.654
ASHGA5P006065	2.958	1.019
ASHGA5P006067	8.803	0.481
ASHGA5P006068	8.912	0.551
ASHGA5P006069	3.023	1.148
ASHGA5P006070	3.466	-1.809
ASHGA5P006073	6.809	0.786
ASHGA5P006074	7.689	-2.016
ASHGA5P006075	10.985	-2.567
ASHGA5P006076	3.575	-1.432
ASHGA5P006078	5.153	-4.356
ASHGA5P006079	7.101	-1.611
ASHGA5P006084	5.853	-0.583
ASHGA5P006086	6.925	-0.597
ASHGA5P006087	10.957	-3.256
ASHGA5P006089	12.399	-2.464
ASHGA5P006091	7.967	1.026
ASHGA5P006092	5.347	0.855
ASHGA5P006093	5.408	-1.468
ASHGA5P006095	9.888	-2.404
ASHGA5P006096	4.76	-1.76
ASHGA5P006097	5.152	-3.985
ASHGA5P006098	8.011	0.456
ASHGA5P006099	9.194	-1.358
ASHGA5P006100	7.895	0.731
ASHGA5P006101	11.851	0.707
ASHGA5P006102	6.861	-1.996
ASHGA5P006103	8.426	-1.943
ASHGA5P006104	8.274	4.166
ASHGA5P006105	10.841	-0.525
ASHGA5P006107	10.173	-0.915
ASHGA5P006108	11.357	-0.829
ASHGA5P006110	8.317	1.802
ASHGA5P006112	11.271	-1.675
ASHGA5P006113	11.073	0.585
ASHGA5P006114	3.149	-1.192
ASHGA5P006115	2.968	1.056
ASHGA5P006116	11.225	-2.299
ASHGA5P006117	3.456	-1.806
ASHGA5P006118	3.49	-0.783
ASHGA5P006119	15.46	0.431
ASHGA5P006120	7.097	-3.492
ASHGA5P006121	7.897	-2.845
ASHGA5P006123	11.984	0.576
ASHGA5P006124	6.674	0.644
ASHGA5P006125	5.419	-2.42
ASHGA5P006127	9.776	-0.614
ASHGA5P006128	6.706	-0.455
ASHGA5P006129	2.94	0.642
ASHGA5P006130	6.164	-1.151
ASHGA5P006131	9.544	-1.112
ASHGA5P006132	6.821	-0.651
ASHGA5P006135	9.459	-1.721
ASHGA5P006138	5.102	-2.245
ASHGA5P006139	10.89	0.656
ASHGA5P006140	8.077	-1.572
ASHGA5P006141	6.173	0.92
ASHGA5P006142	9.264	-0.541
ASHGA5P006143	7.36	0.65
ASHGA5P006146	12.618	1.506
ASHGA5P006150	6.116	0.833
ASHGA5P006151	8.172	-0.862
ASHGA5P006152	4.302	-1.65
ASHGA5P006154	10.672	2.782
ASHGA5P006155	8.64	-1.083
ASHGA5P006156	6.26	-3.414
ASHGA5P006158	3.002	0.961
ASHGA5P006159	9.937	-0.616
ASHGA5P006160	4.998	2.524
ASHGA5P006161	5.706	0.578
ASHGA5P006163	6.674	1.439
ASHGA5P006164	7.796	-1.715
ASHGA5P006166	2.97	-0.732
ASHGA5P006169	6.736	1.256
ASHGA5P006170	8.006	-1.577
ASHGA5P006171	8.062	-2.073
ASHGA5P006172	5.529	-0.866
ASHGA5P006173	4.19	-1.791
ASHGA5P006175	4.62	-3.179
ASHGA5P006178	10.461	-5.956
ASHGA5P006179	2.884	0.974
ASHGA5P006181	7.257	-3.976
ASHGA5P006183	6.789	1.389
ASHGA5P006186	7.058	-0.461
ASHGA5P006188	3.077	1.12
ASHGA5P006189	4.987	-1.369
ASHGA5P006191	6.924	0.725
ASHGA5P006193	5.565	-1.34
ASHGA5P006194	10.721	2.004
ASHGA5P006195	10.442	-0.887
ASHGA5P006197	12.144	0.655
ASHGA5P006198	5.152	0.97
ASHGA5P006199	10.368	1.014
ASHGA5P006203	6.839	0.673
ASHGA5P006205	9.465	1.454
ASHGA5P006206	10.457	0.662
ASHGA5P006207	7.781	0.965
ASHGA5P006208	5.59	-4.203
ASHGA5P006210	7.034	0.952
ASHGA5P006211	10.545	-1.453
ASHGA5P006212	3.209	1.514
ASHGA5P006214	10.835	0.57
ASHGA5P006215	9.406	1.308
ASHGA5P006216	6.261	-5.814
ASHGA5P006217	2.76	0.431
ASHGA5P006218	12.799	-0.903
ASHGA5P006219	6.062	-1.773
ASHGA5P006220	10.12	2.741
ASHGA5P006221	9.197	-0.355
ASHGA5P006224	9.328	-1.261
ASHGA5P006225	11.04	1.763
ASHGA5P006226	7.655	-2.376
ASHGA5P006228	5.088	-1.731
ASHGA5P006230	9.964	0.857
ASHGA5P006231	6.519	-1.386
ASHGA5P006232	9.82	0.494
ASHGA5P006233	2.957	-0.787
ASHGA5P006234	8.403	0.534
ASHGA5P006235	6.62	1.278
ASHGA5P006236	11.119	-0.625
ASHGA5P006237	8.844	-1.294
ASHGA5P006238	2.964	1.135
ASHGA5P006239	6.883	0.474
ASHGA5P006242	5.354	1.149
ASHGA5P006243	7.471	0.83
ASHGA5P006245	9.645	1.033
ASHGA5P006246	11.186	1.422
ASHGA5P006247	8.102	2.386
ASHGA5P006248	9.642	0.761
ASHGA5P006249	7.231	-1.947
ASHGA5P006250	5.72	-3.078
ASHGA5P006251	9.988	1.041
ASHGA5P006253	8.6	-3.301
ASHGA5P006254	7.569	-0.969
