ID	log2Exp	log2FC
ASHGA5P000712	5.636	-4.442
ASHGA5P000713	6.652	-2.456
ASHGA5P000714	8.683	-3.676
ASHGA5P000715	8.69	-2.402
ASHGA5P000716	5.372	-3.37
ASHGA5P000717	9.515	0.747
ASHGA5P000719	3.008	0.677
ASHGA5P000722	7.741	1.09
ASHGA5P000723	5.795	0.838
ASHGA5P000724	7.294	0.56
ASHGA5P000725	6.781	-4.494
ASHGA5P000727	6.318	-1.376
ASHGA5P000729	9.089	-2.316
ASHGA5P000730	6.732	-1.129
ASHGA5P000731	9.028	0.708
ASHGA5P000732	7.876	-2.474
ASHGA5P000736	11.219	-1.336
ASHGA5P000738	9.61	0.706
ASHGA5P000739	8.322	1.236
ASHGA5P000741	10.181	1.47
ASHGA5P000742	7.327	1.787
ASHGA5P000743	9.381	-3.066
ASHGA5P000744	8.063	-2.596
ASHGA5P000745	7.293	-2.84
ASHGA5P000746	8.935	0.434
ASHGA5P000747	3.375	1.127
ASHGA5P000749	4.87	1.272
ASHGA5P000750	8.122	0.93
ASHGA5P000753	6.965	0.837
ASHGA5P000755	7.273	0.692
ASHGA5P000759	5.915	1.696
ASHGA5P000760	5.002	0.932
ASHGA5P000761	8.804	-2.365
ASHGA5P000763	3.046	1.343
ASHGA5P000764	8.16	-5.301
ASHGA5P000766	6.691	1.88
ASHGA5P000767	9.341	-0.59
ASHGA5P000768	9.731	0.876
ASHGA5P000769	6.94	-2.448
ASHGA5P000771	6.574	-2.834
ASHGA5P000772	11.316	0.894
ASHGA5P000776	4.86	-2.315
ASHGA5P000777	2.736	0.497
ASHGA5P000779	12.918	4.549
ASHGA5P000782	6.529	-1.194
ASHGA5P000783	6.785	-2.246
ASHGA5P000784	6.846	0.729
ASHGA5P000785	8.299	-3.159
ASHGA5P000787	8.354	-2.162
ASHGA5P000788	7.33	-1.224
ASHGA5P000791	9.652	-0.423
ASHGA5P000792	6.786	-0.957
ASHGA5P000793	5.228	1.35
ASHGA5P000794	5.941	-0.869
ASHGA5P000795	6.923	-3.622
ASHGA5P000796	9.975	-3.646
ASHGA5P000797	4.594	-3.084
ASHGA5P000801	7.306	0.611
ASHGA5P000803	3.183	-1.264
ASHGA5P000804	6.64	-0.374
ASHGA5P000805	6.847	-1.334
ASHGA5P000806	6.994	-2.269
ASHGA5P000807	9.152	-0.609
ASHGA5P000808	5.79	-1.05
ASHGA5P000809	9.235	3.19
ASHGA5P000810	11.499	0.948
ASHGA5P000811	9.328	-1.541
ASHGA5P000812	3.277	-1.453
ASHGA5P000814	8.493	-4.626
ASHGA5P000815	5.219	-1.241
