ID	log2(fold change)	-log10(Pvalue)
ASHGA5P004498	-2.863	2.804
ASHGA5P004499	-4.905	3.599
ASHGA5P004500	2.859	6.125
ASHGA5P004501	-0.71	1.931
ASHGA5P004503	-4.748	5.677
ASHGA5P004507	1.302	4.303
ASHGA5P004508	-0.835	3.223
ASHGA5P004509	-1.178	2.495
ASHGA5P004510	0.469	2.029
ASHGA5P004511	0.901	4.102
ASHGA5P004512	-2.09	4.826
ASHGA5P004513	0.359	1.649
ASHGA5P004514	-0.573	2.921
ASHGA5P004515	0.528	2.03
ASHGA5P004516	2.471	6.176
ASHGA5P004517	1.728	4.139
ASHGA5P004518	0.86	3.558
ASHGA5P004519	-0.933	2.459
ASHGA5P004523	-2.891	6.591
ASHGA5P004525	1.581	5.167
ASHGA5P004526	1.16	3.856
ASHGA5P004529	1.391	4.484
ASHGA5P004530	1.252	3.63
ASHGA5P004531	1.162	4.562
ASHGA5P004532	-2.068	2.309
ASHGA5P004533	0.361	2.052
ASHGA5P004534	-2.375	3.255
ASHGA5P004535	-2.226	4.817
ASHGA5P004536	4.043	7.712
ASHGA5P004537	-1.991	4.467
ASHGA5P004538	-2.353	5.728
ASHGA5P004539	1.38	3.269
ASHGA5P004540	2.629	5.718
ASHGA5P004541	-0.901	3.843
ASHGA5P004546	1.752	3.437
ASHGA5P004547	-0.897	2.683
ASHGA5P004548	-2.331	4.025
ASHGA5P004549	2.44	6.082
ASHGA5P004550	-3.253	3.261
ASHGA5P004552	-0.709	3.072
ASHGA5P004553	1.041	4.571
ASHGA5P004555	-1.222	4.06
ASHGA5P004559	-2.138	5.784
ASHGA5P004561	-1.937	4.275
ASHGA5P004562	-6.089	4.365
ASHGA5P004563	0.722	3.498
ASHGA5P004564	-1.17	3.66
ASHGA5P004566	-1.451	5.291
ASHGA5P004567	1.034	2.546
ASHGA5P004568	1.214	4.042
ASHGA5P004569	0.651	3.414
ASHGA5P004570	-0.469	2.42
ASHGA5P004571	1.257	4.499
ASHGA5P004572	2.885	6.476
ASHGA5P004573	1.064	2.232
ASHGA5P004574	-1.96	3.286
ASHGA5P004575	3.258	6.911
ASHGA5P004576	-1.757	5.785
ASHGA5P004577	1.304	4.449
ASHGA5P004579	-4.422	7.576
ASHGA5P004580	2.053	5.949
ASHGA5P004581	-0.781	2.462
ASHGA5P004582	0.451	1.841
ASHGA5P004584	2.571	3.68
ASHGA5P004586	0.552	2.841
ASHGA5P004588	0.784	3.674
ASHGA5P004589	1.117	2.068
ASHGA5P004590	1.329	1.929
ASHGA5P004591	3.648	7.133
ASHGA5P004592	0.908	2.009
ASHGA5P004595	0.817	3.155
ASHGA5P004596	-2.586	6.67
ASHGA5P004598	-2.15	6.129
ASHGA5P004599	0.821	3.884
ASHGA5P004600	0.609	2.959
ASHGA5P004603	0.92	3.556
ASHGA5P004604	-1.095	2.068
ASHGA5P004605	-3.281	5.021
ASHGA5P004606	-0.922	2.709
ASHGA5P004608	2.004	1.667
ASHGA5P004609	1.288	4.741
ASHGA5P004610	-2.371	4.745
ASHGA5P004611	-3.243	6.11
ASHGA5P004612	0.304	1.534
ASHGA5P004616	-2.691	4.216
ASHGA5P004617	-2.751	6.853
ASHGA5P004618	-2.386	5.943
ASHGA5P004619	1.261	2.405
ASHGA5P004621	-3.436	5.613
ASHGA5P004623	1.097	2.528
ASHGA5P004624	-4.248	7.628
ASHGA5P004625	1.142	4.379
ASHGA5P004626	1.035	3.678
ASHGA5P004630	0.599	2.511
ASHGA5P004631	1.658	5.034
ASHGA5P004633	-2.32	5.104
ASHGA5P004635	-0.732	2.312
ASHGA5P004636	1.206	3.964
ASHGA5P004637	1.55	3.56
ASHGA5P004639	-1.39	4.251
ASHGA5P004640	-0.72	3.593
ASHGA5P004641	-4.472	6.7
ASHGA5P004642	-1.105	3.922
ASHGA5P004643	2.414	6.097
ASHGA5P004644	2.563	6.239
ASHGA5P004645	-4.425	5.526
ASHGA5P004646	1.238	4.172
ASHGA5P004647	-1.574	3.358
ASHGA5P004649	-3.009	5.136
ASHGA5P004651	-1.467	2.982
ASHGA5P004654	-0.678	2.785
ASHGA5P004655	-1.848	4.22
ASHGA5P004656	-1.568	5.481
ASHGA5P004657	-1.838	4.62
ASHGA5P004658	1.192	3.305
ASHGA5P004659	-2.727	6.336
ASHGA5P004660	-2.251	2.649
ASHGA5P004661	-3.444	4.266
ASHGA5P004662	-0.568	2.961
ASHGA5P004663	-0.954	3.101
ASHGA5P004664	0.505	2.729
ASHGA5P004665	-2.001	5.687
ASHGA5P004666	-2.322	3.668
ASHGA5P004668	-1.432	2.56
ASHGA5P004673	0.791	2.596
ASHGA5P004674	-0.333	1.82
ASHGA5P004675	-2.617	2.62
ASHGA5P004676	-3.726	7.056
ASHGA5P004677	-3.315	6.875
ASHGA5P004678	-1.647	5.73
ASHGA5P004679	1.075	1.747
ASHGA5P004680	0.826	2.498
ASHGA5P004681	0.84	2.502
ASHGA5P004683	-3.146	3.185
ASHGA5P004684	-1.418	3.658
ASHGA5P004686	1.634	4.652
ASHGA5P004688	1.491	4.788
ASHGA5P004689	-2.924	5.344
ASHGA5P004690	-1.722	5.775
ASHGA5P004691	-1.702	3.946
ASHGA5P004692	-1.512	5.321
ASHGA5P004694	1.039	4.304
ASHGA5P004695	0.919	3.035
ASHGA5P004696	1.082	3.886
ASHGA5P004697	0.741	2.936
ASHGA5P004698	-1.417	5.155
ASHGA5P004699	1.616	4.826
ASHGA5P004700	-2.637	2.769
ASHGA5P004701	-2.401	4.419
ASHGA5P004702	0.382	1.627
ASHGA5P004703	0.589	2.537
ASHGA5P004704	1.86	5.512
ASHGA5P004705	-1.159	4.367
ASHGA5P004706	-2.534	6.191
ASHGA5P004707	2.461	6.606
ASHGA5P004708	0.555	2.882
ASHGA5P004710	-0.992	3.871
ASHGA5P004711	-4.327	3.215
ASHGA5P004712	-3.344	4.56
ASHGA5P004713	3.98	7.74
ASHGA5P004715	0.723	3.261
ASHGA5P004716	-0.483	2.683
ASHGA5P004717	1.926	3.783
ASHGA5P004718	1.211	3.281
ASHGA5P004719	-1.128	3.261
ASHGA5P004721	1.38	2.462
ASHGA5P004722	-1.908	5.499
ASHGA5P004724	-1.748	5.444
ASHGA5P004725	-3.524	2.476
ASHGA5P004726	0.384	2.008
ASHGA5P004727	0.685	2.876
ASHGA5P004729	-2.544	2.891
ASHGA5P004730	-4.725	4.12
ASHGA5P004731	-0.324	1.871
ASHGA5P004732	-1.616	3.789
ASHGA5P004733	0.435	2.208
ASHGA5P004734	-2.401	6.268
ASHGA5P004735	-1.265	2.046
ASHGA5P004736	0.549	2.346
ASHGA5P004737	-1.848	4.227
ASHGA5P004738	-1.766	3.122
ASHGA5P004740	-2.24	6.296
ASHGA5P004741	-1.567	3.561
ASHGA5P004742	-0.834	2.201
ASHGA5P004743	-1.528	5.13
ASHGA5P004748	-1.428	2.831
ASHGA5P004749	-1.297	3.964
ASHGA5P004750	-2.357	6.416
ASHGA5P004752	-3.768	6.757
ASHGA5P004753	-2.773	4.681
ASHGA5P004754	-0.48	2.371
ASHGA5P004755	-2.316	5.67
ASHGA5P004756	0.752	3.443
ASHGA5P004757	1.155	4.641
ASHGA5P004758	-1.709	3.369
ASHGA5P004759	1.356	4.206
ASHGA5P004760	-1.309	4.564
ASHGA5P004761	2.315	5.164
ASHGA5P004762	-2.776	5.525
ASHGA5P004763	-1.735	5.16
ASHGA5P004765	-1.545	2.822
ASHGA5P004766	0.877	1.7
ASHGA5P004767	-1.569	3.632
ASHGA5P004768	-0.977	2.594
ASHGA5P004770	1.043	2.318
ASHGA5P004772	1.086	4.026
ASHGA5P004773	-1.46	4.706
ASHGA5P004774	0.608	2.341
ASHGA5P004775	-0.485	2.698
ASHGA5P004777	-0.709	2.786
ASHGA5P004778	-3.584	6.012
ASHGA5P004780	-1.264	3.235
ASHGA5P004782	-1.277	4.609
ASHGA5P004783	-1.833	5.304
ASHGA5P004786	-0.824	2.76
ASHGA5P004787	-3.538	7.18
ASHGA5P004789	-3.381	2.584
ASHGA5P004790	-4.429	7.331
ASHGA5P004792	-1.449	1.665
ASHGA5P004793	1.076	4.225
ASHGA5P004794	-1.336	3.383
ASHGA5P004795	-1.963	5.506
ASHGA5P004797	-2.051	4.91
ASHGA5P004798	3.689	7.689
ASHGA5P004799	-0.603	1.539
ASHGA5P004800	2.006	5.397
ASHGA5P004803	0.354	1.938
ASHGA5P004804	-2.551	4.948
ASHGA5P004805	0.584	2.582
ASHGA5P004807	-1.278	4.798
ASHGA5P004808	2.144	5.176
ASHGA5P004809	-1.117	3.405
ASHGA5P004810	-1.353	4.552
ASHGA5P004811	-3.311	6.181
ASHGA5P004812	1.268	4.113
ASHGA5P004813	0.455	2.22
ASHGA5P004814	-1.485	4.353
ASHGA5P004816	3.711	7.068
ASHGA5P004817	-2.169	6.098
ASHGA5P004818	-2	3.321
ASHGA5P004819	-0.766	1.964
ASHGA5P004820	-2.928	5.338
ASHGA5P004821	-2.654	5.88
ASHGA5P004822	0.767	3.461
ASHGA5P004824	-1.016	2.713
ASHGA5P004825	1.397	1.982
ASHGA5P004828	-1.673	4.994
ASHGA5P004829	-1.82	5.227
ASHGA5P004830	1.687	4.702
ASHGA5P004832	-1.86	3.916
ASHGA5P004834	-4.838	4.701
ASHGA5P004835	-2.198	3.752
ASHGA5P004836	5.483	8.291
ASHGA5P004837	-2.761	5.111
ASHGA5P004838	-1.96	3.013
ASHGA5P004839	-0.557	1.876
ASHGA5P004840	-3.892	7.344
ASHGA5P004841	-5.138	5.434
ASHGA5P004842	-2.384	5.614
ASHGA5P004843	-1.924	5.214
ASHGA5P004844	-1.194	1.778
ASHGA5P004845	1.162	3.751
ASHGA5P004847	1.272	2.077
ASHGA5P004848	2.488	6.313
ASHGA5P004849	-0.441	1.912
ASHGA5P004850	0.399	2.243
ASHGA5P004851	-0.788	2.732
ASHGA5P004852	-3.75	7.27
ASHGA5P004853	-0.851	2.444
ASHGA5P004854	-3.451	7.159
ASHGA5P004856	-3.496	6.999
ASHGA5P004857	1.643	5.617
ASHGA5P004858	-2.24	4.938
ASHGA5P004861	-3.792	5.819
ASHGA5P004863	0.332	1.855
ASHGA5P004866	0.828	3.529
ASHGA5P004868	0.852	3.592
ASHGA5P004870	-4.155	3.267
ASHGA5P004871	-0.818	3.906
ASHGA5P004872	0.936	3.647
ASHGA5P004873	1.031	3.913
ASHGA5P004874	3.516	7.122
ASHGA5P004877	-3.145	3.062
ASHGA5P004880	-3.116	5.949
ASHGA5P004881	-2.199	2.451
ASHGA5P004883	1.522	3.905
ASHGA5P004886	0.721	3.158
ASHGA5P004887	1.255	4.184
ASHGA5P004888	-0.876	3.913
ASHGA5P004890	-1.287	3.932
ASHGA5P004891	-3.175	5.209
ASHGA5P004892	1.201	4.604
ASHGA5P004893	1.125	4.188
ASHGA5P004894	-2.432	4.723
ASHGA5P004898	-3.209	6.834
ASHGA5P004899	0.743	1.979
ASHGA5P004901	1.397	3.546
ASHGA5P004902	-1.519	2.938
ASHGA5P004903	-1.42	4.986
ASHGA5P004904	-3.457	5.747
ASHGA5P004905	-4.876	6.22
ASHGA5P004908	-1.108	3.567
ASHGA5P004909	-3.425	6.408
ASHGA5P004910	-1.552	5.504
ASHGA5P004912	-2.802	5.547
ASHGA5P004913	0.826	3.527
ASHGA5P004915	-2.487	5.498
ASHGA5P004916	-1.849	4.816
ASHGA5P004917	0.33	1.682
ASHGA5P004922	-2.144	4.473
ASHGA5P004923	1.027	3.474
ASHGA5P004924	-0.531	2.514
ASHGA5P004925	0.866	2.73
ASHGA5P004926	-2.85	5.683
ASHGA5P004928	-3.325	4.803
ASHGA5P004929	1.408	2.409
ASHGA5P004930	-0.818	3.879
ASHGA5P004932	-1.138	2.232
ASHGA5P004933	-2.581	4.496
ASHGA5P004934	-1.722	4.069
ASHGA5P004935	1.057	3.258
ASHGA5P004936	0.727	2.255
ASHGA5P004938	-3.121	3.024
ASHGA5P004939	1.027	4.1
ASHGA5P004940	-0.606	2.636
ASHGA5P004941	-4.373	5.087
ASHGA5P004944	-1.432	4.585
ASHGA5P004945	0.65	3.362
ASHGA5P004946	0.503	2.791
ASHGA5P004949	-1.963	5.272
ASHGA5P004950	-1.395	2.46
ASHGA5P004952	-2.385	6.37
ASHGA5P004953	-0.977	4.042
ASHGA5P004954	-2.045	5.964
ASHGA5P004955	-4.723	8.017
ASHGA5P004956	4.343	7.813
ASHGA5P004957	1.276	2.846
ASHGA5P004958	-5.524	7.761
ASHGA5P004960	-0.653	3.092
ASHGA5P004961	-2.165	5.196
ASHGA5P004963	0.723	2.958
ASHGA5P004964	-1.304	3.486
ASHGA5P004965	-0.548	2.077
ASHGA5P004967	-1.137	2.761
ASHGA5P004969	-1.843	5.961
ASHGA5P004970	1.005	2.367
ASHGA5P004971	-1.181	4.134
ASHGA5P004972	1.105	3.102
ASHGA5P004974	-3.98	7.651
ASHGA5P004975	0.516	2.308
ASHGA5P004976	-2.108	4.979
ASHGA5P004977	-2.409	6.211
ASHGA5P004979	-1.584	2.814
ASHGA5P004980	-1.603	4.8
ASHGA5P004981	-8.685	8.825
ASHGA5P004982	2.146	5.754
ASHGA5P004987	-0.832	3.698
ASHGA5P004988	0.385	2.014
ASHGA5P004990	-1.156	1.984
ASHGA5P004991	-6.086	7.132
ASHGA5P004992	-0.634	2.867
ASHGA5P004993	1.443	4.351
ASHGA5P004995	-4.16	8.014
ASHGA5P004997	-4.014	7.037
ASHGA5P004998	-4.096	2.774
ASHGA5P004999	0.593	1.839
ASHGA5P005001	-2.603	3.006
ASHGA5P005002	-0.955	4.027
ASHGA5P005003	0.386	1.592
ASHGA5P005005	-0.327	1.575
ASHGA5P005006	-3.532	6.132
ASHGA5P005007	-2.891	4.561
ASHGA5P005008	-2.982	5.504
ASHGA5P005010	-2.116	4.49
ASHGA5P005011	-0.736	2.072
ASHGA5P005012	-0.685	3.066
ASHGA5P005015	-1.338	4.894
ASHGA5P005016	-2.648	5.898
ASHGA5P005017	-1.038	3.77
ASHGA5P005018	-3.726	6.971
ASHGA5P005019	-2.171	6.122
ASHGA5P005021	-1.046	4.367
ASHGA5P005025	1.16	4.754
ASHGA5P005026	-1.151	4.504
ASHGA5P005030	-4.528	3.054
ASHGA5P005033	-3.161	4.008
ASHGA5P005034	-0.321	1.609
ASHGA5P005036	-1.141	4.165
ASHGA5P005038	1.516	4.87
ASHGA5P005041	-2.463	5.635
ASHGA5P005045	0.856	3.907
ASHGA5P005047	-2.712	2.391
ASHGA5P005049	0.498	1.783
ASHGA5P005050	-1.563	3.937
ASHGA5P005051	0.437	1.868
ASHGA5P005052	-2.493	5.655
ASHGA5P005053	1.14	3.013
ASHGA5P005054	1.812	5.565
ASHGA5P005055	-1.491	4.702
ASHGA5P005056	-1.385	1.658
ASHGA5P005060	1.047	4.151
ASHGA5P005061	-1.358	2.29
ASHGA5P005062	-0.714	2.791
ASHGA5P005063	-1.372	4.361
ASHGA5P005064	0.96	3.877
ASHGA5P005065	1.612	5.215
ASHGA5P005066	4.251	6.956
ASHGA5P005067	-1.439	4.754
ASHGA5P005068	0.997	3.905
ASHGA5P005069	0.749	2.779
ASHGA5P005071	1.108	4.719
ASHGA5P005072	-0.325	1.511
ASHGA5P005073	1.17	4.321
ASHGA5P005075	-1.453	3.615
ASHGA5P005077	2.279	4.673
ASHGA5P005078	1.84	4.655
ASHGA5P005080	-1.938	3.051
ASHGA5P005081	-1.778	5.633
ASHGA5P005082	1.643	4.912
ASHGA5P005084	0.602	2.107
ASHGA5P005085	1.014	3.943
ASHGA5P005086	0.863	3.39
ASHGA5P005087	1.387	3.994
ASHGA5P005088	0.809	3.544
ASHGA5P005093	1.528	3.218
ASHGA5P005094	-3.017	6.79
ASHGA5P005097	1.018	2.037
ASHGA5P005101	0.951	2.679
ASHGA5P005102	0.899	1.797
ASHGA5P005103	1.48	4.789
ASHGA5P005104	0.833	2.068
ASHGA5P005105	2.146	6.149
ASHGA5P005108	-3.026	7.161
ASHGA5P005109	0.814	2.612
ASHGA5P005110	1.492	4.742
ASHGA5P005111	0.649	3.132
ASHGA5P005113	4.247	7.694
ASHGA5P005114	1.976	5.395
ASHGA5P005115	-2.529	4.493
ASHGA5P005116	0.834	3.508
ASHGA5P005118	-1.255	3.596
ASHGA5P005119	1.138	2.741
ASHGA5P005121	1.6	5.453
ASHGA5P005122	0.714	2.827
ASHGA5P005123	-2.718	1.752
ASHGA5P005125	-1.747	5.092
ASHGA5P005126	-0.879	3.931
ASHGA5P005129	1.193	3.272
ASHGA5P005131	0.513	2.088
ASHGA5P005132	-0.634	1.923
ASHGA5P005133	-5.684	4.748
ASHGA5P005135	1.173	2.316
ASHGA5P005137	0.387	1.911
ASHGA5P005138	1.365	2.744
ASHGA5P005139	0.973	3.891
ASHGA5P005142	-1.475	3.398
ASHGA5P005143	-2.804	3.062
ASHGA5P005144	-0.9	3.434
ASHGA5P005146	-3.096	5.107
ASHGA5P005148	0.613	3.302
ASHGA5P005149	-0.459	2.043
ASHGA5P005150	-1.014	3.904
ASHGA5P005151	-2.801	4.533
ASHGA5P005152	0.51	2.902
ASHGA5P005153	-1.597	5.174
ASHGA5P005154	1.488	1.693
ASHGA5P005155	-2.392	5.896
ASHGA5P005157	-1.903	4.553
ASHGA5P005158	0.613	2.178
ASHGA5P005159	2.167	5.769
ASHGA5P005161	0.53	2.554
ASHGA5P005163	-1.595	2.826
ASHGA5P005164	2.377	4.771
ASHGA5P005165	-5.101	7.677
ASHGA5P005166	1.332	3.496
ASHGA5P005171	-6.642	7.365
ASHGA5P005172	1.081	3.012
ASHGA5P005173	1.07	3.367
ASHGA5P005175	-0.683	3.319
ASHGA5P005176	0.579	3.161
ASHGA5P005177	0.581	1.843
ASHGA5P005178	-1.153	2.417
ASHGA5P005179	1.064	3.428
ASHGA5P005180	1.704	3.731
ASHGA5P005183	-1.697	4.458
ASHGA5P005185	-1.588	4.565
ASHGA5P005186	0.685	3.331
ASHGA5P005187	1.633	5.293
ASHGA5P005188	-0.562	1.906
ASHGA5P005190	-1.463	4.886
ASHGA5P005191	-2.028	3.832
ASHGA5P005192	0.636	2.616
ASHGA5P005193	-1.396	2.979
ASHGA5P005194	2.096	4.919
ASHGA5P005196	-0.487	2.366
ASHGA5P005197	-1.222	2.691
ASHGA5P005199	-2.152	4.843
ASHGA5P005201	-1.452	4.217
ASHGA5P005203	1.007	2.256
ASHGA5P005204	-3.179	4.769
ASHGA5P005207	-2	5.847
ASHGA5P005208	-3.114	3.765
ASHGA5P005209	2.256	6.344
ASHGA5P005210	1.297	4.645
ASHGA5P005211	0.479	1.593
ASHGA5P005212	-1.843	3.716
ASHGA5P005214	-1.223	4.68
ASHGA5P005215	-3.581	5.595
ASHGA5P005217	0.955	3.086
ASHGA5P005218	-3.308	4.704
ASHGA5P005219	1.841	5.524
ASHGA5P005221	-1.182	2.289
ASHGA5P005224	1.05	2.939
ASHGA5P005225	1.145	2.754
ASHGA5P005226	-1.759	2.998
ASHGA5P005228	-4.594	4.636
ASHGA5P005229	-1.396	4.975
ASHGA5P005230	0.517	2.066
ASHGA5P005231	-0.674	2.719
ASHGA5P005233	1.832	3.945
ASHGA5P005236	-1.425	4.144
ASHGA5P005237	-1.401	4.996
ASHGA5P005240	-2.627	3.377
ASHGA5P005241	1.755	4.032
ASHGA5P005242	-1.379	5.154
ASHGA5P005243	-0.619	2.717
ASHGA5P005244	0.578	1.561
ASHGA5P005245	-1.138	2.62
ASHGA5P005246	1.23	4.543
ASHGA5P005248	1.807	5.262
ASHGA5P005249	0.903	2.726
ASHGA5P005252	0.669	3.367
ASHGA5P005254	0.798	2.461
ASHGA5P005255	1.211	4.098
ASHGA5P005256	1.245	2.103
ASHGA5P005258	-0.62	1.803
ASHGA5P005259	-0.988	3.744
ASHGA5P005260	-0.826	3
ASHGA5P005261	-2.758	5.72
ASHGA5P005262	-2.785	5.201
ASHGA5P005263	-4.583	6.614
ASHGA5P005264	-2.297	6.02
ASHGA5P005267	-0.811	2.282
ASHGA5P005270	-0.508	2.896
ASHGA5P005271	1.236	4.72
ASHGA5P005272	2.725	6.337
ASHGA5P005273	-1.794	4.657
ASHGA5P005275	2.411	5.385
ASHGA5P005276	0.55	3.077
ASHGA5P005277	-3.457	4.219
ASHGA5P005278	-2.334	4.578
ASHGA5P005279	1.215	4.245
ASHGA5P005280	1.53	5.148
ASHGA5P005281	-1.339	4.329
ASHGA5P005283	0.708	2.366
ASHGA5P005284	-2.904	5.093
ASHGA5P005285	-2.463	5.796
ASHGA5P005286	-2.689	4.137
ASHGA5P005287	1.294	5.131
ASHGA5P005288	-6.433	7.307
ASHGA5P005289	-3.622	3.979
ASHGA5P005290	1.17	4.688
ASHGA5P005291	-0.424	1.824
ASHGA5P005292	0.421	1.557
ASHGA5P005293	0.696	2.313
ASHGA5P005295	-0.978	3.445
ASHGA5P005296	0.436	1.959
ASHGA5P005298	0.917	3.55
ASHGA5P005300	0.654	1.519
ASHGA5P005302	-4.518	7.178
ASHGA5P005303	2.324	6.184
ASHGA5P005304	1.266	4.725
ASHGA5P005305	0.983	4.109
ASHGA5P005308	1.932	2.185
ASHGA5P005309	1.38	4.68
ASHGA5P005310	0.808	3.265
ASHGA5P005311	0.907	2.947
ASHGA5P005312	1.254	3.262
ASHGA5P005313	2.041	4.794
ASHGA5P005314	-1.857	5.381
ASHGA5P005316	-4.173	3.484
ASHGA5P005317	-0.606	2.683
ASHGA5P005318	-0.458	2.428
ASHGA5P005319	0.559	2.581
ASHGA5P005321	0.836	3.07
ASHGA5P005322	-2.083	5.89
ASHGA5P005323	1.572	3.11
ASHGA5P005324	0.555	2.724
ASHGA5P005325	-3.05	2.584
ASHGA5P005326	-1.826	4.766
ASHGA5P005328	0.858	2.12
ASHGA5P005329	-1.16	3.083
ASHGA5P005330	0.504	2.773
ASHGA5P005332	-0.64	2.168
ASHGA5P005333	-1.589	2.787
ASHGA5P005335	-3.189	5.856
ASHGA5P005336	0.784	1.682
ASHGA5P005338	1.267	4.944
ASHGA5P005339	-0.387	2.199
ASHGA5P005340	-1.937	2.577
ASHGA5P005342	-2.066	1.899
ASHGA5P005343	-0.607	3.136
ASHGA5P005345	2.181	6.306
ASHGA5P005346	0.836	3.466
ASHGA5P005347	-4.356	7.097
ASHGA5P005348	-4.22	6.877
ASHGA5P005349	-2.195	6.016
ASHGA5P005350	-0.789	2.198
ASHGA5P005352	0.749	2.126
ASHGA5P005353	-3.678	6.915
ASHGA5P005354	-5.416	7.265
ASHGA5P005355	-3.201	6.488
ASHGA5P005358	-0.734	1.996
ASHGA5P005359	-1.23	3.993
ASHGA5P005360	0.472	1.865
ASHGA5P005361	1.201	2.205
ASHGA5P005362	0.982	2.479
ASHGA5P005363	1.651	4.405
ASHGA5P005364	1.771	5.505
ASHGA5P005365	-0.884	3.313
ASHGA5P005367	-0.673	1.547
ASHGA5P005369	-2.567	2.094
ASHGA5P005371	-0.845	1.539
ASHGA5P005372	-5.693	8.651
ASHGA5P005373	0.706	2.499
ASHGA5P005374	-0.753	2.922
ASHGA5P005377	0.814	2.031
ASHGA5P005378	0.803	3.276
ASHGA5P005379	1.662	2.785
ASHGA5P005381	-1.195	4.802
ASHGA5P005382	-1.614	3.043
ASHGA5P005383	3.502	4.015
ASHGA5P005384	-0.626	2.251
ASHGA5P005385	0.712	3.663
ASHGA5P005386	-2.154	4.069
ASHGA5P005387	-2.817	6.173
ASHGA5P005388	-0.932	1.966
ASHGA5P005389	-1.371	4.374
ASHGA5P005390	-7.067	6.793
ASHGA5P005391	-1.537	4.682
ASHGA5P005392	-2.193	4.279
ASHGA5P005393	1.103	4.518
ASHGA5P005395	-3.737	5.06
ASHGA5P005397	-0.321	1.51
ASHGA5P005398	1.47	4.636
ASHGA5P005400	-3.006	5.594
ASHGA5P005401	-2.589	5.078
ASHGA5P005402	-2.728	6.386
ASHGA5P005403	0.859	1.967
ASHGA5P005405	1.938	3.734
ASHGA5P005407	0.808	3.858
ASHGA5P005409	-2.234	4.235
ASHGA5P005411	-2.7	6.785
ASHGA5P005412	0.564	2.282
ASHGA5P005413	1.803	4.658
ASHGA5P005414	0.636	3.323
ASHGA5P005415	0.901	2.232
ASHGA5P005417	0.701	2.16
ASHGA5P005418	-1.682	2.111
ASHGA5P005419	-1.273	4.729
ASHGA5P005420	-0.722	3.045
ASHGA5P005422	-2.047	4.68
ASHGA5P005423	1.124	4.715
ASHGA5P005424	-4.005	6.247
ASHGA5P005425	0.325	1.546
ASHGA5P005426	-1.1	4.56
ASHGA5P005428	0.586	3.04
ASHGA5P005431	-2.304	5.676
ASHGA5P005432	-0.516	1.991
ASHGA5P005434	-3.732	5.718
ASHGA5P005435	-2.392	5.128
ASHGA5P005436	-2.176	5.603
ASHGA5P005437	-1.326	3.795
ASHGA5P005439	-1.496	3.714
ASHGA5P005440	-1.404	4.988
ASHGA5P005441	-2.585	6.186
ASHGA5P005443	-4.203	6.336
ASHGA5P005445	6.199	8.763
ASHGA5P005446	-3.087	4.709
ASHGA5P005447	-5.577	6.802
ASHGA5P005449	-1.986	3.485
ASHGA5P005450	-2.977	6.468
ASHGA5P005453	-2.5	6.009
ASHGA5P005454	0.616	3.241
ASHGA5P005455	0.769	3.731
ASHGA5P005457	-2.958	1.983
ASHGA5P005458	0.792	2.066
ASHGA5P005460	-4.167	5.983
ASHGA5P005462	-2.015	5.682
ASHGA5P005464	-1.448	4.562
ASHGA5P005465	-3.606	5.664
ASHGA5P005466	-3.539	5.032
ASHGA5P005467	-2.334	6.243
ASHGA5P005468	-5.09	7.067
ASHGA5P005469	-1.195	4.839
ASHGA5P005470	-0.311	1.608
ASHGA5P005473	3.796	7.142
ASHGA5P005474	-3.043	6.555
ASHGA5P005475	-0.793	3.627
ASHGA5P005476	-1.243	4.166
ASHGA5P005477	-2.323	5.224
ASHGA5P005480	-3.241	4.542
ASHGA5P005481	-1.51	2.791
ASHGA5P005483	0.476	2.275
ASHGA5P005484	-1.069	3.706
ASHGA5P005487	-3.552	5.22
ASHGA5P005488	0.604	2.534
ASHGA5P005489	-0.868	3.066
ASHGA5P005490	1.508	4.709
ASHGA5P005491	-4.652	5.656
ASHGA5P005492	0.536	2.833
ASHGA5P005493	-0.732	3.428
ASHGA5P005494	1.073	3.095
ASHGA5P005495	0.99	3.855
ASHGA5P005496	-2.33	2.48
ASHGA5P005497	-0.762	3.003
ASHGA5P005499	0.711	3.113
ASHGA5P005500	1.09	1.832
ASHGA5P005501	-1.731	5.554
ASHGA5P005502	-0.39	1.938
ASHGA5P005503	0.501	2.774
ASHGA5P005504	0.881	3.878
ASHGA5P005505	0.91	3.568
ASHGA5P005506	0.47	1.996
ASHGA5P005508	-2.963	2.368
ASHGA5P005509	0.902	3.687
ASHGA5P005513	0.546	2.213
ASHGA5P005514	-4.705	7.418
ASHGA5P005515	-5.153	8.234
ASHGA5P005516	0.596	2.671
ASHGA5P005517	1.5	3.029
ASHGA5P005518	2.313	5.486
ASHGA5P005519	-2.202	4.581
ASHGA5P005520	-1.658	2.784
ASHGA5P005521	0.712	1.68
ASHGA5P005522	-0.729	3.409
ASHGA5P005524	-1.404	4.354
ASHGA5P005525	1.01	2.833
ASHGA5P005526	0.857	3.519
ASHGA5P005528	-2.214	3.361
ASHGA5P005530	-4.434	1.566
ASHGA5P005531	-3.248	5.752
ASHGA5P005533	-2.397	3.498
ASHGA5P005535	-1.963	4.307
ASHGA5P005537	-1.119	2.415
ASHGA5P005538	-2.215	5.611
ASHGA5P005539	-3.696	7.468
ASHGA5P005540	-0.88	3.367
ASHGA5P005541	-0.626	2.622
ASHGA5P005543	-2.485	5.742
ASHGA5P005544	0.851	3.285
ASHGA5P005546	1.868	5.21
