ID	log2(fold change)	-log10(Pvalue)
ASHGA5P000897	1.355	4.758
ASHGA5P000898	0.559	2.489
ASHGA5P000899	0.958	1.791
ASHGA5P000900	-1.589	4.846
ASHGA5P000901	0.419	2.057
ASHGA5P000903	-2.335	3.159
ASHGA5P000904	2.763	6.422
ASHGA5P000905	2.711	6.767
ASHGA5P000906	-2.163	4.094
ASHGA5P000908	-0.388	1.838
ASHGA5P000909	1.144	4.451
ASHGA5P000910	0.55	2.729
ASHGA5P000911	1.193	3.348
ASHGA5P000913	1.471	4.657
ASHGA5P000914	3.441	5.856
ASHGA5P000915	1.03	3.457
ASHGA5P000916	-1.471	1.616
ASHGA5P000917	1.377	3.405
ASHGA5P000919	1.055	2.911
ASHGA5P000920	-2.637	3.83
ASHGA5P000921	-0.79	2.947
ASHGA5P000922	-3.096	6.998
ASHGA5P000923	-1.663	4.498
ASHGA5P000925	0.816	2.236
ASHGA5P000927	0.782	3.575
ASHGA5P000928	1.173	3.23
ASHGA5P000931	-0.329	1.594
ASHGA5P000932	0.846	1.992
ASHGA5P000933	0.86	3.775
ASHGA5P000935	1.32	3.766
ASHGA5P000937	-1.291	1.61
ASHGA5P000939	-0.688	2.789
ASHGA5P000941	-2.348	3.68
ASHGA5P000942	-3.052	6.226
ASHGA5P000943	-1.435	4.198
ASHGA5P000944	0.572	2.361
ASHGA5P000945	-2.869	6.06
ASHGA5P000946	-2.165	6.061
ASHGA5P000947	-5.376	4.704
ASHGA5P000948	4.188	5.128
ASHGA5P000949	-4.094	7.837
ASHGA5P000950	-1.801	5.509
ASHGA5P000952	-5.923	5.768
ASHGA5P000953	-2.213	5.496
ASHGA5P000954	-1.886	5.791
ASHGA5P000955	-0.989	3.843
ASHGA5P000956	4.835	6.858
ASHGA5P000957	1.007	2.747
ASHGA5P000958	-0.948	4.038
ASHGA5P000959	0.435	2.003
ASHGA5P000960	0.746	3.363
ASHGA5P000961	-0.881	3.411
ASHGA5P000963	-2.125	6.055
ASHGA5P000964	-1.708	4.242
ASHGA5P000968	-1.906	5.663
ASHGA5P000970	-1.527	5.166
ASHGA5P000971	-1.261	3.921
ASHGA5P000972	0.63	2.126
ASHGA5P000974	-4.886	7.424
ASHGA5P000976	-2.47	6.289
ASHGA5P000977	0.412	1.722
ASHGA5P000978	-4.341	3.497
ASHGA5P000979	-2.476	5.302
ASHGA5P000980	-3.465	6.762
ASHGA5P000981	-5.049	4.569
ASHGA5P000983	2.928	4.658
ASHGA5P000984	-1.865	3.656
ASHGA5P000985	-1.253	1.785
ASHGA5P000986	0.613	1.573
ASHGA5P000988	1.563	4.263
ASHGA5P000989	-0.352	1.681
ASHGA5P000990	-1.345	4.117
ASHGA5P000991	-4.544	5.003
ASHGA5P000992	-3.626	6.72
ASHGA5P000993	1.677	3.28
ASHGA5P000994	-1.263	4.054
ASHGA5P000996	-1.934	3.135
ASHGA5P000998	0.946	3.804
ASHGA5P000999	0.476	1.771
ASHGA5P001001	0.63	3.006
ASHGA5P001006	0.902	2.917
ASHGA5P001007	-1.402	3.253
ASHGA5P001008	0.478	2.067
ASHGA5P001012	1.166	3.183
ASHGA5P001013	-1.461	4.855
ASHGA5P001014	-0.968	3.965
ASHGA5P001015	-3.043	5.268
ASHGA5P001017	-3.403	5.953
ASHGA5P001019	-0.927	3.155
ASHGA5P001021	-0.343	1.81
ASHGA5P001022	2.085	4.666
ASHGA5P001028	0.639	2.661
ASHGA5P001031	-2.953	3.855
ASHGA5P001032	-1.27	2.858
ASHGA5P001033	-1.52	4.663
ASHGA5P001034	1.271	2.738
ASHGA5P001035	-1.401	2.816
ASHGA5P001036	-2.146	2.174
ASHGA5P001038	-1.359	2.861
ASHGA5P001039	1.82	5.637
ASHGA5P001040	2.308	4.381
ASHGA5P001041	-1.3	3.088
ASHGA5P001042	0.743	2.711
ASHGA5P001043	-3.127	5.327
ASHGA5P001045	-1.382	4.253
ASHGA5P001046	-0.849	2.162
ASHGA5P001048	1.103	2.875
ASHGA5P001049	-1.991	1.698
ASHGA5P001050	-2.779	5.112
ASHGA5P001051	1.984	3.999
ASHGA5P001052	1.731	5.281
ASHGA5P001054	-0.975	3.184
ASHGA5P001055	1.582	4.406
ASHGA5P001059	2.091	4.517
ASHGA5P001060	1.086	3.046
ASHGA5P001064	3.651	7.384
ASHGA5P001065	1.629	4.567
ASHGA5P001066	0.945	2.54
ASHGA5P001067	-1.186	3.562
ASHGA5P001068	-1.816	3.785
ASHGA5P001069	0.477	1.611
ASHGA5P001071	-2.446	3.926
ASHGA5P001072	0.75	3.19
ASHGA5P001074	-0.859	3.155
ASHGA5P001075	1.65	4.842
ASHGA5P001078	1.219	1.905
ASHGA5P001080	-1.376	2.036
ASHGA5P001081	0.805	1.558
ASHGA5P001084	-3.801	6.142
ASHGA5P001086	1.019	2.449
ASHGA5P001088	0.421	1.911
ASHGA5P001089	-1.342	4.227
ASHGA5P001090	-1.847	3.52
ASHGA5P001091	-0.978	3.687
ASHGA5P001092	-3.135	5.962
ASHGA5P001094	0.959	2.177
ASHGA5P001095	-2.351	4.381
ASHGA5P001097	-2.816	3.334
ASHGA5P001098	-2.613	2.504
ASHGA5P001100	-1.008	4.26
ASHGA5P001101	-1.181	2.187
ASHGA5P001102	7.399	7.14
ASHGA5P001103	1.119	4.485
ASHGA5P001107	-0.373	1.787
ASHGA5P001108	-3.316	5.8
ASHGA5P001109	-2.487	5.958
ASHGA5P001111	-1.436	4.429
ASHGA5P001112	-2.595	3.622
ASHGA5P001113	-2.203	4.957
ASHGA5P001114	-4.517	3.462
ASHGA5P001116	-3.085	5.292
ASHGA5P001119	-3.502	6.299
ASHGA5P001120	-1.227	4.338
ASHGA5P001121	1.127	2.029
